molecule_id,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,aEA_eV,aIP_eV
hc_c42h24_0pent_6110,-5.087,-2.238,2.849,0.141,-43887.634,-43881.540,-43888.889,-1.255,6.093
hc_c42h24_0pent_628,-5.391,-1.857,3.533,0.270,-43887.083,-43880.564,-43887.868,-0.785,6.519
hc_c42h24_0pent_4144,-5.163,-2.115,3.048,0.261,-43887.377,-43881.192,-43888.509,-1.131,6.185
hc_c42h24_0pent_3745,-5.244,-2.011,3.233,0.189,-43887.580,-43881.335,-43888.614,-1.034,6.245
hc_c42h24_0pent_5506,-5.082,-2.217,2.866,0.142,-43888.033,-43881.953,-43889.273,-1.240,6.080
hc_c34h20_0pent_235,-5.270,-2.013,3.257,0.002,-35537.925,-35531.601,-35538.922,-0.997,6.323
hc_c42h24_0pent_5553,-5.078,-2.230,2.848,0.140,-43887.516,-43881.408,-43888.748,-1.232,6.108
hc_c42h24_0pent_1082,-5.239,-2.043,3.196,0.131,-43887.954,-43881.710,-43889.007,-1.053,6.243
hc_c42h24_0pent_139,-5.473,-1.779,3.694,0.139,-43887.403,-43880.897,-43888.128,-0.725,6.506
hc_c38h22_0pent_368,-5.260,-1.997,3.263,0.091,-39712.382,-39706.075,-39713.361,-0.980,6.307
hc_c42h24_0pent_93,-5.451,-1.798,3.653,0.330,-43886.659,-43880.166,-43887.437,-0.778,6.492
hc_c30h18_0pent_42,-5.383,-1.836,3.547,0.069,-31362.394,-31355.882,-31363.148,-0.754,6.512
hc_c42h24_0pent_5063,-5.135,-2.200,2.934,0.193,-43887.652,-43881.463,-43888.808,-1.156,6.189
hc_c42h24_0pent_864,-5.331,-1.954,3.378,0.118,-43888.029,-43881.638,-43888.984,-0.955,6.391
hc_c42h24_0pent_1033,-5.215,-2.027,3.188,0.148,-43887.622,-43881.408,-43888.676,-1.054,6.214
hc_c38h22_0pent_833,-5.373,-1.867,3.506,0.109,-39713.106,-39706.686,-39713.953,-0.846,6.421
hc_c42h24_0pent_3612,-5.275,-2.034,3.241,0.066,-43888.166,-43881.914,-43889.228,-1.062,6.252
