molecule_id,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,aEA_eV,aIP_eV
hc_c42h24_0pent_4677,-4.899,-2.417,2.481,0.120,-43887.877,-43881.971,-43889.308,-1.431,5.906
hc_c42h24_0pent_30,-5.381,-1.844,3.537,0.276,-43886.961,-43880.522,-43887.771,-0.810,6.438
hc_c42h24_0pent_3943,-5.328,-1.966,3.362,0.174,-43888.043,-43881.712,-43889.039,-0.996,6.331
hc_c34h20_0pent_369,-5.221,-2.124,3.097,0.216,-35538.011,-35531.680,-35539.056,-1.045,6.331
hc_c42h24_0pent_169,-5.462,-1.855,3.607,0.140,-43887.341,-43880.879,-43888.228,-0.887,6.463
hc_c42h24_0pent_6550,-4.873,-2.477,2.396,0.090,-43887.668,-43881.785,-43889.160,-1.492,5.883
hc_c42h24_0pent_4102,-5.284,-1.988,3.296,0.132,-43887.944,-43881.671,-43888.977,-1.033,6.273
hc_c42h24_0pent_5020,-5.188,-2.176,3.012,0.174,-43888.488,-43882.280,-43889.668,-1.180,6.208
hc_c42h24_0pent_5356,-5.249,-2.091,3.158,0.123,-43888.207,-43881.947,-43889.299,-1.092,6.260
hc_c42h24_0pent_3775,-5.217,-2.089,3.128,0.116,-43888.139,-43881.939,-43889.270,-1.131,6.200
hc_c42h24_0pent_5213,-5.182,-2.175,3.007,0.123,-43888.577,-43882.399,-43889.774,-1.197,6.178
hc_c42h24_0pent_6024,-5.057,-2.264,2.792,0.333,-43887.839,-43881.754,-43889.109,-1.269,6.085
hc_c38h22_0pent_988,-5.189,-2.085,3.104,0.144,-39712.666,-39706.424,-39713.743,-1.077,6.242
hc_c42h24_0pent_5081,-5.292,-2.148,3.144,0.123,-43888.448,-43882.175,-43889.638,-1.190,6.273
hc_c42h24_0pent_708,-5.348,-1.837,3.511,0.246,-43887.146,-43880.752,-43887.977,-0.832,6.394
hc_c42h24_0pent_5256,-5.105,-2.205,2.899,0.147,-43887.754,-43881.634,-43888.959,-1.205,6.120
hc_c38h22_0pent_1023,-5.302,-1.928,3.374,0.340,-39712.357,-39705.995,-39713.280,-0.922,6.363
hc_c34h20_0pent_342,-5.048,-2.278,2.769,0.084,-35537.555,-35531.375,-35538.727,-1.172,6.180
hc_c34h20_0pent_116,-5.321,-1.909,3.411,0.113,-35537.515,-35531.081,-35538.356,-0.841,6.434
hc_c42h24_0pent_3229,-5.435,-1.855,3.579,0.107,-43888.020,-43881.561,-43888.891,-0.871,6.459
hc_c42h24_0pent_2690,-5.288,-1.968,3.321,0.144,-43887.772,-43881.477,-43888.774,-1.002,6.295
hc_c42h24_0pent_1258,-5.442,-1.844,3.597,0.203,-43888.173,-43881.707,-43889.027,-0.854,6.465
hc_c42h24_0pent_1222,-5.260,-2.088,3.172,0.166,-43888.358,-43882.055,-43889.419,-1.061,6.303
hc_c42h24_0pent_1898,-5.282,-1.943,3.339,0.187,-43887.658,-43881.393,-43888.653,-0.996,6.265
hc_c42h24_0pent_3045,-5.396,-1.939,3.458,0.213,-43887.984,-43881.604,-43888.975,-0.991,6.380
hc_c42h24_0pent_1806,-5.478,-1.795,3.683,0.084,-43888.073,-43881.610,-43888.903,-0.830,6.463
hc_c34h20_0pent_129,-5.362,-1.933,3.429,0.076,-35537.770,-35531.275,-35538.601,-0.831,6.495
hc_c38h22_0pent_708,-5.292,-1.909,3.383,0.037,-39712.844,-39706.517,-39713.753,-0.909,6.327
hc_c42h24_0pent_4795,-5.023,-2.303,2.721,0.331,-43887.803,-43881.721,-43889.083,-1.280,6.082
hc_c30h18_0pent_41,-5.547,-1.754,3.793,0.054,-31362.800,-31356.109,-31363.416,-0.616,6.691
hc_c42h24_0pent_1400,-5.342,-1.914,3.428,0.242,-43887.587,-43881.215,-43888.506,-0.919,6.373
hc_c42h24_0pent_317,-5.420,-1.839,3.581,0.266,-43887.275,-43880.864,-43888.157,-0.882,6.411
hc_c42h24_0pent_2037,-5.416,-1.887,3.529,0.095,-43888.324,-43881.926,-43889.251,-0.927,6.398
hc_c42h24_0pent_4793,-5.027,-2.310,2.717,0.260,-43887.833,-43881.848,-43889.118,-1.285,5.985
hc_c42h24_0pent_4558,-4.866,-2.176,2.689,0.361,-43886.894,-43880.848,-43887.969,-1.075,6.047
hc_c42h24_0pent_5003,-5.131,-2.207,2.924,0.200,-43888.149,-43881.942,-43889.280,-1.131,6.208
hc_c42h24_0pent_1449,-5.259,-1.881,3.379,0.377,-43887.324,-43880.954,-43888.167,-0.843,6.370
hc_c38h22_0pent_1226,-5.010,-2.355,2.654,0.084,-39712.802,-39706.690,-39714.079,-1.277,6.111
hc_c42h24_0pent_4439,-5.287,-1.925,3.362,0.074,-43887.379,-43881.095,-43888.338,-0.960,6.283
hc_c42h24_0pent_3623,-5.313,-2.001,3.311,0.108,-43888.686,-43882.374,-43889.720,-1.034,6.312
hc_c34h20_0pent_179,-5.376,-1.859,3.517,0.199,-35537.717,-35531.254,-35538.518,-0.801,6.463
hc_c38h22_0pent_1227,-4.972,-2.378,2.594,0.060,-39712.774,-39706.738,-39714.109,-1.335,6.036
hc_c42h24_0pent_2789,-5.285,-2.018,3.267,0.076,-43887.609,-43881.301,-43888.634,-1.026,6.307
hc_c38h22_0pent_929,-5.396,-1.880,3.516,0.355,-39712.768,-39706.336,-39713.652,-0.884,6.431
hc_c42h24_0pent_4670,-5.034,-2.321,2.712,0.153,-43888.187,-43882.131,-43889.507,-1.320,6.056
hc_c42h24_0pent_4537,-5.199,-1.944,3.255,0.336,-43887.159,-43880.943,-43888.093,-0.934,6.216
hc_c42h24_0pent_4614,-5.153,-2.150,3.003,0.171,-43887.852,-43881.643,-43888.962,-1.110,6.209
hc_c38h22_0pent_1568,-4.727,-2.492,2.235,0.217,-39712.051,-39706.188,-39713.468,-1.418,5.863
hc_c42h24_0pent_1790,-5.471,-1.894,3.577,0.097,-43888.149,-43881.676,-43889.066,-0.917,6.473
hc_c42h24_0pent_4730,-4.937,-2.385,2.552,0.110,-43887.714,-43881.749,-43889.091,-1.377,5.965
hc_c42h24_0pent_6457,-4.817,-2.561,2.255,0.213,-43887.850,-43881.966,-43889.368,-1.518,5.884
hc_c42h24_0pent_5959,-4.995,-2.331,2.664,0.176,-43887.731,-43881.725,-43889.073,-1.342,6.006
hc_c42h24_0pent_5099,-5.160,-2.201,2.960,0.146,-43888.249,-43882.064,-43889.464,-1.215,6.185
hc_c38h22_0pent_1229,-4.964,-2.386,2.578,0.098,-39712.453,-39706.427,-39713.802,-1.349,6.026
hc_c42h24_0pent_6173,-5.088,-2.151,2.937,0.344,-43887.269,-43881.114,-43888.380,-1.111,6.155
hc_c42h24_0pent_5119,-5.168,-2.192,2.976,0.276,-43888.125,-43881.933,-43889.345,-1.220,6.192
hc_c42h24_0pent_4426,-5.198,-1.964,3.235,0.191,-43887.558,-43881.353,-43888.553,-0.995,6.205
hc_c42h24_0pent_4068,-5.325,-1.966,3.358,0.160,-43887.999,-43881.658,-43888.986,-0.987,6.341
hc_c38h22_0pent_1039,-5.324,-1.953,3.371,0.103,-39712.713,-39706.329,-39713.643,-0.930,6.384
hc_c42h24_0pent_3949,-5.311,-1.974,3.337,0.257,-43888.033,-43881.719,-43889.035,-1.002,6.315
hc_c34h20_0pent_4,-5.395,-1.798,3.597,0.000,-35536.810,-35530.335,-35537.561,-0.750,6.475
hc_c30h18_0pent_75,-5.249,-2.038,3.211,0.062,-31362.720,-31356.328,-31363.653,-0.933,6.391
hc_c42h24_0pent_1370,-5.320,-1.917,3.403,0.190,-43887.725,-43881.385,-43888.658,-0.933,6.340
hc_c42h24_0pent_3375,-5.229,-1.969,3.260,0.242,-43887.199,-43880.942,-43888.178,-0.979,6.257
hc_c42h24_0pent_1609,-5.221,-1.997,3.224,0.189,-43887.825,-43881.598,-43888.855,-1.030,6.227
hc_c42h24_0pent_5716,-5.005,-2.330,2.676,0.083,-43887.621,-43881.547,-43888.922,-1.301,6.074
hc_c38h22_0pent_176,-5.538,-1.694,3.844,0.048,-39712.883,-39706.300,-39713.541,-0.658,6.582
hc_c42h24_0pent_1843,-5.362,-1.918,3.444,0.069,-43888.102,-43881.737,-43889.054,-0.952,6.365
hc_c34h20_0pent_58,-5.459,-1.699,3.760,0.046,-35537.545,-35530.986,-35538.186,-0.641,6.559
hc_c42h24_0pent_3453,-5.334,-1.972,3.362,0.155,-43887.435,-43881.096,-43888.438,-1.003,6.340
hc_c42h24_0pent_1923,-5.216,-2.046,3.170,0.063,-43887.895,-43881.687,-43888.968,-1.073,6.208
hc_c38h22_0pent_861,-5.308,-1.984,3.324,0.064,-39713.300,-39706.971,-39714.300,-1.001,6.328
hc_c42h24_0pent_842,-5.429,-1.862,3.567,0.070,-43888.150,-43881.713,-43889.032,-0.882,6.437
hc_c42h24_0pent_244,-5.492,-1.794,3.697,0.216,-43887.881,-43881.392,-43888.710,-0.828,6.489
hc_c42h24_0pent_4988,-5.060,-2.164,2.895,0.354,-43887.611,-43881.460,-43888.721,-1.110,6.151
hc_c42h24_0pent_2459,-5.356,-1.967,3.388,0.111,-43888.347,-43881.994,-43889.348,-1.001,6.353
hc_c42h24_0pent_1321,-5.299,-1.951,3.348,0.133,-43887.758,-43881.450,-43888.739,-0.981,6.307
hc_c42h24_0pent_6494,-4.875,-2.518,2.356,0.171,-43888.095,-43882.235,-43889.650,-1.554,5.860
hc_c42h24_0pent_2088,-5.380,-1.946,3.434,0.063,-43888.611,-43882.253,-43889.606,-0.995,6.358
hc_c42h24_0pent_5606,-4.970,-2.283,2.688,0.298,-43887.236,-43881.188,-43888.474,-1.238,6.048
hc_c42h24_0pent_2704,-5.223,-2.016,3.207,0.374,-43887.416,-43881.160,-43888.434,-1.018,6.256
hc_c38h22_0pent_1641,-4.787,-2.595,2.192,0.036,-39712.800,-39706.952,-39714.355,-1.555,5.848
hc_c42h24_0pent_4295,-5.326,-1.935,3.391,0.164,-43888.153,-43881.795,-43889.108,-0.956,6.358
hc_c38h22_0pent_710,-5.385,-1.863,3.522,0.079,-39712.856,-39706.430,-39713.710,-0.854,6.427
hc_c42h24_0pent_1989,-5.324,-1.968,3.356,0.130,-43888.295,-43881.978,-43889.296,-1.001,6.317
hc_c34h20_0pent_226,-5.407,-1.911,3.496,0.159,-35538.022,-35531.512,-35538.890,-0.868,6.510
hc_c42h24_0pent_3962,-5.342,-1.890,3.452,0.211,-43887.318,-43880.982,-43888.221,-0.902,6.336
hc_c34h20_0pent_245,-5.469,-1.794,3.675,0.051,-35537.499,-35530.910,-35538.212,-0.712,6.590
hc_c42h24_0pent_341,-5.399,-1.874,3.525,0.132,-43887.453,-43881.048,-43888.353,-0.900,6.405
hc_c38h22_0pent_666,-5.416,-1.853,3.563,0.144,-39713.151,-39706.695,-39713.991,-0.840,6.456
hc_c42h24_0pent_4780,-4.992,-2.361,2.631,0.059,-43887.792,-43881.781,-43889.161,-1.369,6.011
hc_c38h22_0pent_1060,-5.252,-1.984,3.268,0.266,-39712.423,-39706.074,-39713.386,-0.963,6.350
hc_c42h24_0pent_5577,-4.987,-2.317,2.671,0.301,-43887.519,-43881.502,-43888.837,-1.318,6.017
hc_c38h22_0pent_307,-5.291,-1.994,3.297,0.098,-39713.092,-39706.756,-39714.066,-0.974,6.337
hc_c42h24_0pent_5853,-5.104,-2.207,2.898,0.093,-43887.673,-43881.574,-43888.913,-1.241,6.099
hc_c42h24_0pent_726,-5.475,-1.804,3.670,0.229,-43887.465,-43880.989,-43888.310,-0.846,6.476
hc_c42h24_0pent_5055,-5.144,-2.207,2.937,0.218,-43888.139,-43881.924,-43889.288,-1.149,6.216
hc_c42h24_0pent_894,-5.336,-1.908,3.428,0.140,-43887.943,-43881.584,-43888.858,-0.915,6.359
hc_c42h24_0pent_5715,-5.157,-2.201,2.956,0.202,-43888.543,-43882.341,-43889.723,-1.180,6.202
hc_c42h24_0pent_5134,-5.169,-2.188,2.981,0.195,-43888.001,-43881.843,-43889.225,-1.224,6.158
hc_c42h24_0pent_4163,-5.276,-2.058,3.218,0.152,-43887.346,-43881.039,-43888.414,-1.068,6.307
hc_c42h24_0pent_605,-5.422,-1.796,3.625,0.089,-43887.422,-43880.997,-43888.252,-0.830,6.426
hc_c34h20_0pent_155,-5.387,-1.829,3.558,0.152,-35537.517,-35531.041,-35538.299,-0.782,6.476
hc_c42h24_0pent_5493,-5.318,-2.066,3.251,0.120,-43888.516,-43882.193,-43889.592,-1.076,6.324
hc_c42h24_0pent_3606,-5.218,-2.101,3.117,0.018,-43888.496,-43882.325,-43889.671,-1.176,6.171
hc_c38h22_0pent_676,-5.370,-1.868,3.502,0.376,-39712.721,-39706.274,-39713.548,-0.826,6.447
hc_c42h24_0pent_2209,-5.350,-1.892,3.458,0.148,-43888.313,-43881.975,-43889.244,-0.930,6.338
hc_c42h24_0pent_3089,-5.272,-2.064,3.208,0.185,-43886.675,-43880.372,-43888.064,-1.389,6.303
hc_c42h24_0pent_2219,-5.368,-1.907,3.461,0.095,-43888.418,-43882.068,-43889.368,-0.950,6.350
hc_c42h24_0pent_3980,-5.397,-1.902,3.496,0.173,-43888.411,-43882.023,-43889.338,-0.927,6.388
hc_c42h24_0pent_5670,-5.075,-2.278,2.798,0.078,-43887.630,-43881.553,-43888.940,-1.310,6.077
hc_c42h24_0pent_120,-5.441,-1.854,3.587,0.287,-43887.296,-43880.854,-43888.182,-0.886,6.442
hc_c42h24_0pent_3954,-5.426,-1.844,3.582,0.060,-43888.170,-43881.750,-43889.038,-0.868,6.420
hc_c38h22_0pent_1064,-5.328,-1.966,3.362,0.081,-39712.727,-39706.380,-39713.709,-0.982,6.347
hc_c38h22_0pent_163,-5.495,-1.748,3.747,0.095,-39712.640,-39706.107,-39713.391,-0.751,6.533
hc_c38h22_0pent_947,-5.051,-2.237,2.814,0.078,-39712.417,-39706.341,-39713.651,-1.233,6.077
hc_c42h24_0pent_1477,-5.280,-1.903,3.377,0.192,-43887.525,-43881.184,-43888.406,-0.881,6.341
hc_c42h24_0pent_140,-5.504,-1.814,3.690,0.223,-43887.882,-43881.366,-43888.734,-0.852,6.515
hc_c38h22_0pent_1603,-4.902,-2.490,2.413,0.082,-39712.923,-39706.927,-39714.349,-1.425,5.996
hc_c42h24_0pent_4196,-5.289,-1.977,3.312,0.216,-43887.479,-43881.189,-43888.497,-1.018,6.290
hc_c42h24_0pent_5885,-4.928,-2.336,2.592,0.116,-43887.672,-43881.692,-43888.990,-1.318,5.980
hc_c38h22_0pent_431,-5.271,-2.041,3.230,0.085,-39712.334,-39705.996,-39713.341,-1.007,6.338
hc_c42h24_0pent_1032,-5.227,-2.016,3.212,0.181,-43887.588,-43881.361,-43888.641,-1.053,6.228
hc_c42h24_0pent_4557,-5.217,-1.928,3.289,0.331,-43887.142,-43880.815,-43887.966,-0.824,6.328
hc_c42h24_0pent_1122,-5.118,-2.161,2.956,0.101,-43887.317,-43881.191,-43888.473,-1.156,6.126
hc_c42h24_0pent_4105,-5.244,-2.077,3.167,0.264,-43887.901,-43881.642,-43888.993,-1.092,6.259
hc_c38h22_0pent_302,-5.165,-2.071,3.094,0.293,-39712.642,-39706.447,-39713.681,-1.039,6.195
hc_c42h24_0pent_5685,-5.104,-2.241,2.863,0.152,-43887.851,-43881.726,-43889.078,-1.227,6.125
hc_c42h24_0pent_1265,-5.327,-1.938,3.388,0.232,-43887.829,-43881.501,-43888.795,-0.965,6.328
hc_c38h22_0pent_273,-5.390,-1.891,3.499,0.010,-39712.508,-39706.020,-39713.368,-0.860,6.488
hc_c42h24_0pent_2669,-5.317,-1.928,3.389,0.172,-43887.650,-43881.330,-43888.621,-0.971,6.320
hc_c38h22_0pent_1473,-5.080,-2.245,2.835,0.080,-39712.470,-39706.325,-39713.683,-1.213,6.145
hc_c38h22_0pent_17,-5.429,-1.833,3.595,0.227,-39712.067,-39705.592,-39712.882,-0.816,6.475
hc_c38h22_0pent_1417,-5.079,-2.230,2.849,0.124,-39712.572,-39706.433,-39713.768,-1.196,6.139
hc_c38h22_0pent_1648,-4.943,-2.430,2.513,0.109,-39712.728,-39706.736,-39714.134,-1.406,5.992
hc_c42h24_0pent_6193,-4.833,-2.473,2.360,0.207,-43887.748,-43881.861,-43889.197,-1.449,5.887
hc_c42h24_0pent_2032,-5.374,-1.890,3.484,0.048,-43887.708,-43881.317,-43888.642,-0.934,6.391
hc_c34h20_0pent_149,-5.520,-1.841,3.679,0.089,-35537.794,-35531.184,-35538.572,-0.778,6.610
hc_c38h22_0pent_937,-5.506,-1.750,3.756,0.079,-39712.865,-39706.312,-39713.601,-0.736,6.553
hc_c42h24_0pent_6506,-4.760,-2.601,2.160,0.088,-43887.766,-43881.964,-43889.346,-1.580,5.803
hc_c42h24_0pent_6224,-4.798,-2.520,2.278,0.040,-43887.528,-43881.720,-43889.035,-1.507,5.809
hc_c42h24_0pent_2730,-5.330,-1.897,3.433,0.413,-43887.550,-43881.194,-43888.463,-0.913,6.356
hc_c38h22_0pent_1073,-5.333,-1.952,3.381,0.081,-39712.990,-39706.643,-39713.957,-0.968,6.346
hc_c42h24_0pent_812,-5.254,-2.020,3.234,0.071,-43887.588,-43881.092,-43888.567,-0.979,6.496
hc_c38h22_0pent_1063,-5.298,-1.937,3.362,0.121,-39712.306,-39705.952,-39713.211,-0.905,6.354
hc_c42h24_0pent_6211,-4.791,-2.608,2.184,0.106,-43887.825,-43881.975,-43889.385,-1.560,5.850
hc_c42h24_0pent_3626,-5.307,-2.007,3.300,0.171,-43888.272,-43881.971,-43889.331,-1.058,6.302
hc_c38h22_0pent_906,-5.322,-1.920,3.401,0.119,-39712.421,-39706.052,-39713.314,-0.894,6.369
hc_c38h22_0pent_470,-5.293,-1.972,3.321,0.115,-39712.420,-39706.048,-39713.352,-0.931,6.373
hc_c42h24_0pent_5089,-5.191,-2.253,2.938,0.071,-43888.270,-43882.079,-43889.548,-1.277,6.192
hc_c38h22_0pent_716,-5.332,-1.870,3.463,0.249,-39712.847,-39706.436,-39713.682,-0.834,6.411
hc_c42h24_0pent_967,-5.357,-1.886,3.472,0.059,-43888.086,-43881.692,-43888.971,-0.885,6.394
hc_c42h24_0pent_5149,-5.131,-2.210,2.921,0.107,-43887.967,-43881.806,-43889.178,-1.211,6.161
hc_c38h22_0pent_1423,-5.082,-2.229,2.853,0.167,-39712.567,-39706.420,-39713.758,-1.191,6.147
hc_c42h24_0pent_1853,-5.237,-2.055,3.181,0.024,-43888.300,-43882.061,-43889.383,-1.083,6.239
hc_c42h24_0pent_3141,-5.335,-1.968,3.366,0.159,-43887.839,-43881.496,-43888.834,-0.996,6.342
hc_c42h24_0pent_4681,-4.833,-2.490,2.343,0.042,-43887.406,-43881.591,-43888.928,-1.523,5.815
hc_c42h24_0pent_3137,-5.336,-1.952,3.384,0.098,-43887.890,-43881.552,-43888.870,-0.980,6.338
hc_c42h24_0pent_849,-5.342,-1.916,3.426,0.314,-43887.976,-43881.426,-43888.873,-0.897,6.550
hc_c42h24_0pent_1799,-5.465,-1.837,3.628,0.311,-43888.153,-43881.648,-43888.943,-0.790,6.504
hc_c42h24_0pent_4165,-5.362,-1.954,3.408,0.157,-43888.060,-43881.711,-43889.053,-0.994,6.349
hc_c42h24_0pent_6344,-4.850,-2.491,2.358,0.278,-43887.634,-43881.716,-43889.083,-1.449,5.918
hc_c42h24_0pent_3304,-5.222,-2.012,3.210,0.272,-43887.050,-43880.749,-43888.058,-1.008,6.301
hc_c42h24_0pent_840,-5.278,-1.950,3.328,0.157,-43887.756,-43881.470,-43888.709,-0.953,6.286
hc_c42h24_0pent_4834,-5.069,-2.272,2.796,0.110,-43888.214,-43882.118,-43889.488,-1.274,6.096
hc_c38h22_0pent_1197,-5.236,-1.933,3.303,0.392,-39712.117,-39705.723,-39712.972,-0.855,6.394
hc_c42h24_0pent_1710,-5.247,-1.976,3.272,0.000,-43887.869,-43881.626,-43888.870,-1.001,6.243
hc_c38h22_0pent_983,-5.238,-2.068,3.170,0.112,-39713.088,-39706.808,-39714.150,-1.062,6.280
hc_c42h24_0pent_3630,-5.363,-1.957,3.406,0.201,-43888.517,-43882.172,-43889.542,-1.025,6.345
hc_c42h24_0pent_5952,-4.949,-2.392,2.557,0.111,-43887.883,-43881.962,-43889.330,-1.447,5.921
hc_c42h24_0pent_5332,-5.098,-2.192,2.906,0.228,-43887.329,-43881.213,-43888.521,-1.192,6.116
hc_c34h20_0pent_394,-5.049,-2.285,2.764,0.109,-35537.821,-35531.700,-35539.066,-1.245,6.121
hc_c38h22_0pent_1276,-5.145,-2.186,2.959,0.126,-39712.734,-39706.501,-39713.858,-1.124,6.233
hc_c42h24_0pent_1404,-5.281,-1.916,3.365,0.356,-43887.330,-43880.972,-43888.210,-0.880,6.357
hc_c42h24_0pent_2105,-5.366,-1.958,3.408,0.093,-43888.345,-43881.978,-43889.341,-0.996,6.368
hc_c42h24_0pent_6373,-4.874,-2.443,2.432,0.154,-43887.689,-43881.786,-43889.130,-1.441,5.903
hc_c42h24_0pent_5345,-5.196,-2.206,2.990,0.069,-43888.478,-43882.221,-43889.643,-1.165,6.257
hc_c42h24_0pent_6604,-4.759,-2.651,2.108,0.099,-43888.030,-43882.254,-43889.692,-1.662,5.776
hc_c38h22_0pent_978,-5.186,-2.093,3.093,0.079,-39712.650,-39706.424,-39713.737,-1.088,6.226
hc_c42h24_0pent_1574,-5.170,-2.023,3.147,0.084,-43887.133,-43880.412,-43888.160,-1.028,6.720
hc_c34h20_0pent_95,-5.308,-1.947,3.360,0.019,-35537.113,-35530.639,-35537.959,-0.846,6.474
hc_c42h24_0pent_2595,-5.343,-1.940,3.403,0.136,-43888.406,-43882.052,-43889.370,-0.964,6.354
hc_c42h24_0pent_1282,-5.379,-1.853,3.526,0.272,-43887.793,-43881.392,-43888.655,-0.861,6.401
hc_c42h24_0pent_1158,-5.153,-2.151,3.001,0.233,-43887.888,-43881.735,-43889.063,-1.175,6.153
hc_c42h24_0pent_2144,-5.372,-1.866,3.505,0.108,-43888.409,-43882.056,-43889.332,-0.923,6.352
hc_c42h24_0pent_848,-5.398,-1.891,3.507,0.074,-43888.058,-43881.598,-43888.963,-0.905,6.460
hc_c38h22_0pent_105,-5.552,-1.675,3.877,0.083,-39713.162,-39706.580,-39713.863,-0.701,6.582
hc_c42h24_0pent_1176,-5.271,-2.064,3.207,0.149,-43888.065,-43881.772,-43889.115,-1.051,6.292
hc_c42h24_0pent_922,-5.241,-1.988,3.253,0.208,-43887.558,-43881.241,-43888.533,-0.975,6.317
hc_c42h24_0pent_4963,-5.067,-2.264,2.803,0.145,-43887.784,-43881.653,-43889.014,-1.229,6.131
hc_c42h24_0pent_3687,-5.220,-2.077,3.143,0.138,-43887.924,-43881.679,-43889.005,-1.080,6.246
hc_c34h20_0pent_236,-5.363,-1.911,3.451,0.146,-35537.760,-35531.282,-35538.596,-0.836,6.478
hc_c34h20_0pent_68,-5.485,-1.708,3.777,0.113,-35537.208,-35530.630,-35537.840,-0.632,6.578
hc_c42h24_0pent_1,-5.410,-1.800,3.610,0.070,-43886.934,-43880.421,-43887.651,-0.717,6.513
hc_c42h24_0pent_4184,-5.286,-2.044,3.243,0.230,-43887.048,-43880.743,-43888.117,-1.069,6.305
hc_c42h24_0pent_1135,-5.186,-2.100,3.086,0.112,-43887.919,-43881.707,-43889.023,-1.104,6.211
hc_c38h22_0pent_482,-5.340,-1.867,3.473,0.162,-39712.735,-39706.350,-39713.604,-0.869,6.386
hc_c42h24_0pent_6453,-4.770,-2.594,2.177,0.099,-43887.537,-43881.717,-43889.104,-1.566,5.820
hc_c42h24_0pent_2325,-5.431,-1.838,3.593,0.150,-43888.409,-43881.994,-43889.303,-0.894,6.414
hc_c34h20_0pent_192,-5.343,-1.920,3.423,0.093,-35537.828,-35531.389,-35538.689,-0.861,6.440
hc_c42h24_0pent_2712,-5.196,-2.005,3.191,0.293,-43887.505,-43881.235,-43888.495,-0.989,6.270
hc_c42h24_0pent_4658,-4.927,-2.338,2.589,0.410,-43887.291,-43881.289,-43888.537,-1.246,6.002
hc_c42h24_0pent_3581,-5.129,-2.164,2.966,0.057,-43888.101,-43881.991,-43889.315,-1.214,6.110
hc_c42h24_0pent_3564,-5.093,-2.209,2.884,0.093,-43887.813,-43881.728,-43889.053,-1.240,6.085
hc_c38h22_0pent_1500,-5.025,-2.327,2.698,0.133,-39712.995,-39706.899,-39714.282,-1.288,6.095
hc_c42h24_0pent_1311,-5.276,-1.912,3.364,0.289,-43887.491,-43881.152,-43888.398,-0.907,6.339
hc_c42h24_0pent_5812,-4.899,-2.425,2.474,0.053,-43887.488,-43881.606,-43888.947,-1.459,5.882
hc_c42h24_0pent_62,-5.315,-1.872,3.443,0.088,-43886.950,-43880.633,-43887.850,-0.900,6.317
hc_c42h24_0pent_3599,-5.296,-2.039,3.257,0.038,-43888.574,-43882.247,-43889.616,-1.042,6.327
hc_c42h24_0pent_3846,-5.256,-2.027,3.229,0.146,-43888.286,-43882.036,-43889.343,-1.057,6.250
hc_c42h24_0pent_6393,-4.889,-2.494,2.395,0.242,-43888.027,-43882.114,-43889.522,-1.495,5.913
hc_c42h24_0pent_1359,-5.361,-1.952,3.409,0.102,-43888.419,-43882.051,-43889.379,-0.960,6.368
hc_c42h24_0pent_1648,-5.337,-1.990,3.347,0.057,-43887.721,-43881.364,-43888.722,-1.001,6.356
hc_c42h24_0pent_6357,-4.884,-2.506,2.377,0.095,-43887.884,-43881.958,-43889.371,-1.487,5.926
hc_c38h22_0pent_1511,-4.970,-2.346,2.624,0.052,-39712.745,-39706.706,-39714.046,-1.302,6.038
hc_c42h24_0pent_5996,-5.030,-2.275,2.755,0.147,-43887.745,-43881.676,-43889.023,-1.277,6.070
hc_c42h24_0pent_6326,-4.864,-2.527,2.337,0.098,-43887.849,-43881.916,-43889.334,-1.486,5.932
hc_c42h24_0pent_4285,-5.337,-1.937,3.400,0.037,-43887.675,-43881.305,-43888.617,-0.942,6.369
hc_c42h24_0pent_6488,-4.858,-2.532,2.326,0.147,-43888.248,-43882.382,-43889.792,-1.543,5.866
hc_c42h24_0pent_6299,-4.887,-2.499,2.388,0.062,-43887.997,-43882.092,-43889.493,-1.497,5.905
hc_c42h24_0pent_3676,-5.264,-2.014,3.250,0.277,-43887.971,-43881.701,-43888.982,-1.010,6.271
hc_c42h24_0pent_3147,-5.334,-1.934,3.400,0.144,-43888.075,-43881.747,-43889.031,-0.956,6.328
hc_c42h24_0pent_5340,-5.347,-2.078,3.269,0.109,-43888.382,-43882.028,-43889.476,-1.094,6.354
hc_c42h24_0pent_4417,-5.312,-1.865,3.447,0.250,-43887.526,-43881.207,-43888.400,-0.874,6.319
hc_c42h24_0pent_1281,-5.375,-1.838,3.537,0.410,-43887.762,-43881.364,-43888.603,-0.841,6.399
hc_c34h20_0pent_112,-5.470,-1.756,3.714,0.118,-35537.851,-35531.291,-35538.552,-0.701,6.560
hc_c38h22_0pent_211,-5.403,-1.729,3.673,0.069,-39712.250,-39705.806,-39712.979,-0.728,6.445
hc_c38h22_0pent_508,-5.170,-2.110,3.060,0.070,-39712.899,-39706.674,-39713.983,-1.084,6.225
hc_c42h24_0pent_5509,-5.088,-2.278,2.810,0.161,-43888.158,-43882.044,-43889.426,-1.268,6.114
hc_c42h24_0pent_3079,-5.393,-1.950,3.443,0.194,-43888.282,-43881.900,-43889.272,-0.990,6.383
hc_c42h24_0pent_2615,-5.288,-2.009,3.279,0.155,-43887.629,-43881.324,-43888.659,-1.031,6.305
hc_c42h24_0pent_938,-5.276,-2.005,3.271,0.068,-43887.445,-43881.110,-43888.447,-1.003,6.335
hc_c42h24_0pent_4639,-5.004,-2.270,2.734,0.072,-43887.853,-43881.728,-43889.041,-1.188,6.125
