molecule,augmented_lalas,lalas,n_rings,n_branching_points,n_secondary_branching_points,n_LAL,L_ratio,longest_L,longest_L_degeneracy,second_longest_L,A_ratio,A_ratio_insensitive,Aa_ratio,longest_A,longest_A_insensitive,longest_A_degeneracy,second_longest_A,second_longest_A_insensitive
hc_c34h20_0pent_181,ALaLaA,ALALAA,8,0,0,1,0.3333,1,2,0,0.3333,0.6667,1.0000,1,2,1,0,1
hc_c34h20_0pent_182,LA()LAa,LA()LAA,8,1,0,0,0.3333,1,2,0,0.3333,0.5000,0.5000,1,2,1,0,1
hc_c34h20_0pent_183,LALALA,LALALA,8,0,0,2,0.5000,1,3,0,0.5000,0.5000,0.0000,1,1,3,0,0
hc_c34h20_0pent_184,LALALa,LALALA,8,0,0,2,0.5000,1,3,0,0.3333,0.5000,0.5000,1,1,3,0,0
hc_c34h20_0pent_185,LALA()L,LALA()L,8,1,0,1,0.5000,1,3,0,0.3333,0.3333,0.0000,1,1,2,0,0
hc_c34h20_0pent_186,LALAAa,LALAAA,8,0,0,1,0.3333,1,2,0,0.5000,0.6667,0.3333,2,3,1,1,1
hc_c34h20_0pent_187,LALAAL,LALAAL,8,0,0,1,0.5000,1,3,0,0.5000,0.5000,0.0000,2,2,1,1,1
hc_c34h20_0pent_188,LALAAA,LALAAA,8,0,0,1,0.3333,1,2,0,0.6667,0.6667,0.0000,3,3,1,1,1
hc_c34h20_0pent_189,AAALaA,AAALAA,8,0,0,0,0.1667,1,1,0,0.6667,0.8333,0.2500,3,3,1,1,2
hc_c34h20_0pent_19,AA()a()A,AA()A()A,8,2,0,0,0.0000,0,9,0,0.5000,0.6667,0.3333,2,4,1,1,0
hc_c34h20_0pent_190,A()ALaA,A()ALAA,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,2,2,2,1,0
hc_c34h20_0pent_191,AaLAaA,AALAAA,8,0,0,0,0.1667,1,1,0,0.5000,0.8333,0.6667,1,3,1,0,2
hc_c34h20_0pent_192,AAaLAa,AAALAA,8,0,0,0,0.1667,1,1,0,0.5000,0.8333,0.6667,2,3,1,1,2
hc_c34h20_0pent_193,A()LAA(),A()LAA(),8,2,0,0,0.1667,1,1,0,0.5000,0.5000,0.0000,2,2,1,1,1
hc_c34h20_0pent_194,A()LAaa,A()LAAA,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,2,3,1,1,1
hc_c34h20_0pent_195,AA()LaA,AA()LAA,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,2,2,2,1,0
hc_c34h20_0pent_196,AaLA()a,AALA()A,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,1,2,2,0,0
hc_c34h20_0pent_197,AaLa()A,AALA()A,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,1,2,2,0,0
hc_c34h20_0pent_198,AA()LAa,AA()LAA,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,2,2,2,1,0
hc_c34h20_0pent_199,ALaa()a,ALAA()A,8,1,0,0,0.1667,1,1,0,0.1667,0.6667,0.3333,3,3,1,1,1
hc_c34h20_0pent_2,AAA()A(),AAA()A(),8,2,0,0,0.0000,0,9,0,0.6667,0.6667,0.0000,4,4,1,0,0
hc_c34h20_0pent_20,Aa()a()A,AA()A()A,8,2,0,0,0.0000,0,9,0,0.3333,0.6667,1.0000,2,4,1,1,0
hc_c34h20_0pent_200,ALaa()A,ALAA()A,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,2,3,1,1,1
hc_c34h20_0pent_201,AALaA(),AALAA(),8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,2,2,2,1,0
hc_c34h20_0pent_202,AALaAA,AALAAA,8,0,0,0,0.1667,1,1,0,0.6667,0.8333,0.2500,2,3,1,1,2
hc_c34h20_0pent_203,ALaA()A,ALAA()A,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,2,3,1,1,1
hc_c34h20_0pent_204,ALaAAA,ALAAAA,8,0,0,0,0.1667,1,1,0,0.6667,0.8333,0.2500,3,4,1,1,1
hc_c34h20_0pent_205,ALAA()A,ALAA()A,8,1,0,0,0.1667,1,1,0,0.6667,0.6667,0.0000,3,3,1,1,1
hc_c34h20_0pent_206,ALAA()a,ALAA()A,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,2,3,1,1,1
hc_c34h20_0pent_207,AALAA(),AALAA(),8,1,0,0,0.1667,1,1,0,0.6667,0.6667,0.0000,2,2,2,0,0
hc_c34h20_0pent_208,AALAaa,AALAAA,8,0,0,0,0.1667,1,1,0,0.5000,0.8333,0.6667,2,3,1,1,2
