molecule_id,annulation,n_branches,longest_A,longest_L,longest_L_degeneracy,second_longest_L,ratio_L,n_LAL,n_rings
hc_c42h24_0pent_3234,aaaaaala,0,6,1,1,0,0.125,0,10
hc_c42h24_0pent_336,a()aa()aaa,2,6,0,0,0,0.0,0,10
hc_c38h22_0pent_1202,llaaala,0,3,2,1,1,0.42857142857142855,0,9
hc_c38h22_0pent_1536,alla()aa,1,3,2,1,0,0.3333333333333333,0,9
hc_c42h24_0pent_876,alaaalaa,0,3,1,2,0,0.25,0,10
hc_c42h24_0pent_3450,a()a()aala,2,4,1,1,0,0.16666666666666666,0,10
hc_c38h22_0pent_1301,llalaal,0,2,2,1,1,0.5714285714285714,1,9
hc_c42h24_0pent_6499,aalaalll,0,2,3,1,1,0.5,0,10
hc_c42h24_0pent_612,a()a(a)aaa,2,6,0,0,0,0.0,0,10
hc_c42h24_0pent_243,aaa(a)aaa,1,7,0,0,0,0.0,0,10
hc_c42h24_0pent_3934,laa()a()al,2,4,1,2,0,0.3333333333333333,0,10
hc_c42h24_0pent_4948,llaaa(l)l,1,3,2,1,1,0.5714285714285714,0,10
hc_c38h22_0pent_642,ala()laa,1,2,1,2,0,0.3333333333333333,0,9
hc_c42h24_0pent_2122,alalaaaa,0,4,1,2,0,0.25,1,10
hc_c42h24_0pent_2369,aalalaaa,0,3,1,2,0,0.25,1,10
hc_c42h24_0pent_6051,llaaa()la,1,3,2,1,1,0.42857142857142855,0,10
hc_c34h20_0pent_325,aaalaa,0,3,1,1,0,0.16666666666666666,0,8
hc_c38h22_0pent_1328,llalaaa,0,3,2,1,1,0.42857142857142855,1,9
hc_c42h24_0pent_464,aaa(a())aa,2,6,0,0,0,0.0,0,10
hc_c38h22_0pent_688,aaalaaa,0,3,1,1,0,0.14285714285714285,0,9
hc_c42h24_0pent_1615,aa()aalaa,1,4,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_5631,llaaaaaa,0,6,2,1,0,0.25,0,10
hc_c42h24_0pent_3336,aaa(a)aal,1,6,1,1,0,0.14285714285714285,0,10
hc_c42h24_0pent_4188,aaa(l)aal,1,3,1,2,0,0.2857142857142857,0,10
hc_c38h22_0pent_1287,llalaal,0,2,2,1,1,0.5714285714285714,1,9
hc_c38h22_0pent_1494,lallaal,0,2,2,1,1,0.5714285714285714,1,9
hc_c42h24_0pent_4343,laa()a()al,2,4,1,2,0,0.3333333333333333,0,10
