molecule_id smiles
hc_c46h26_0pent_17209 c1ccc2cc3c(ccc4c3ccc3ccc5ccc6ccc7c(ccc8ccc9cc%10ccccc%10cc9c87)c6c5c34)cc2c1
hc_c46h26_0pent_18609 c1ccc2cc3c(cc2c1)c1c2cc4cc5c(ccc6ccccc65)cc4cc2ccc1c1ccc2c4ccccc4ccc2c13
hc_c46h26_0pent_2419 c1ccc2cc3c(cc2c1)c1ccccc1c1c2ccccc2c2ccc4ccc5cc6c(ccc7ccccc76)cc5c4c2c31
hc_c42h24_0pent_5088 c1ccc2cc3cc4c(cc3cc2c1)c1cc2cc3ccccc3cc2cc1c1c2ccccc2c2ccccc2c41
hc_c46h26_0pent_2255 c1ccc2c(c1)ccc1ccc3c(ccc4c5ccccc5c5ccc6c7c8ccccc8ccc7c7ccccc7c6c5c43)c12
hc_c46h26_0pent_987 c1ccc2c(c1)ccc1ccc3ccc4ccc5c(ccc6ccc7c(ccc8c9ccccc9c9ccccc9c87)c65)c4c3c12
hc_c46h26_0pent_12984 c1ccc2c(c1)ccc1c3ccccc3c3cc4ccc5c(ccc6c5ccc5ccc7ccc8ccccc8c7c56)c4cc3c21
hc_c46h26_0pent_22697 c1ccc2cc3cc4c(cc3cc2c1)c1ccc2ccccc2c1c1c2ccc3c(ccc5ccc6ccccc6c53)c2ccc41
hc_c42h24_0pent_6434 c1ccc2cc3cc4cc5c(ccc6c7ccc8ccccc8c7c7c8ccccc8ccc7c56)cc4cc3cc2c1
hc_c46h26_0pent_26314 c1ccc2cc3cc4cc5c(ccc6c7cc8c9cc%10ccccc%10cc9c9ccccc9c8cc7ccc56)cc4cc3cc2c1
hc_c42h24_0pent_5724 c1ccc2cc3cc4c(ccc5c4ccc4c6ccc7cc8c(ccc9ccccc98)cc7c6ccc54)cc3cc2c1
hc_c46h26_0pent_8884 c1ccc2c(c1)ccc1ccc3c4cc5c(ccc6cc7ccc8c(ccc9ccc%10ccccc%10c98)c7cc65)cc4ccc3c12
hc_c46h26_0pent_24127 c1ccc2cc3cc4c(ccc5c4ccc4ccc6c7ccc8cc9ccc%10ccccc%10c9cc8c7ccc6c45)cc3cc2c1
hc_c46h26_0pent_6750 c1ccc2cc3c(cc2c1)c1cc2ccc4ccccc4c2cc1c1ccc2cc4c(ccc5c6ccccc6ccc45)cc2c13
hc_c46h26_0pent_14421 c1ccc2cc3c(ccc4c5cc6c(cc5ccc34)c3ccccc3c3c4cc5ccc7ccccc7c5cc4ccc63)cc2c1
hc_c42h24_0pent_3306 c1ccc2cc3c(ccc4c3c3ccc5ccccc5c3c3c5ccccc5c5ccc6ccccc6c5c43)cc2c1
hc_c42h24_0pent_1693 c1ccc2c(c1)ccc1cc3c(ccc4ccc5c(ccc6ccc7c(ccc8ccc9ccccc9c87)c65)c43)cc12
hc_c46h26_0pent_7662 c1ccc2cc3c(ccc4cc5c6ccccc6c6cc7c(ccc8cc9c(ccc%10ccccc%109)cc87)cc6c5cc43)cc2c1
hc_c42h24_0pent_4567 c1ccc2cc3cc4c(cc3cc2c1)c1ccccc1c1ccc2ccc3ccc5cc6ccccc6cc5c3c2c14
hc_c42h24_0pent_2742 c1ccc2c(c1)ccc1ccc3ccc4cc5ccc6c7ccccc7c7ccc8ccccc8c7c6c5cc4c3c12
hc_c46h26_0pent_26542 c1ccc2cc3cc4cc5cc6c(ccc7c8ccccc8c8cc9cc%10ccccc%10cc9cc8c67)cc5cc4cc3cc2c1
hc_c46h26_0pent_7651 c1ccc2cc3c(ccc4cc5c6ccccc6c6cc7c8cc9ccccc9cc8c8ccccc8c7cc6c5cc43)cc2c1
hc_c46h26_0pent_21610 c1ccc2cc3c(ccc4cc5cc6c(ccc7c8ccc9ccccc9c8c8c9ccccc9ccc8c67)cc5cc43)cc2c1
hc_c38h22_0pent_1170 c1ccc2cc3c(cc2c1)c1c(ccc2ccc4ccccc4c21)c1ccc2ccc4ccccc4c2c13
hc_c46h26_0pent_7495 c1ccc2c(c1)ccc1cc3c(cc12)c1ccccc1c1cc2c(cc31)c1ccccc1c1ccc3c4ccccc4ccc3c12
hc_c46h26_0pent_5057 c1ccc2c(c1)ccc1c3cc4c(ccc5ccc6c7ccc8c9ccccc9c9ccccc9c8c7ccc6c54)cc3ccc21
hc_c46h26_0pent_24832 c1ccc2c(c1)ccc1c2ccc2ccc3ccc4cc5cc6cc7c8ccccc8c8ccccc8c7cc6cc5cc4c3c21
hc_c38h22_0pent_100 c1ccc2c(c1)ccc1c2ccc2ccc3c4ccc5c(ccc6ccc7ccccc7c65)c4ccc3c21
hc_c46h26_0pent_3141 c1ccc2c(c1)ccc1c2ccc2ccc3ccc4cc5c(cc4c3c21)c1c2ccccc2ccc1c1ccc2ccccc2c15
hc_c46h26_0pent_5628 c1ccc2cc3c(ccc4c5c6ccccc6ccc5c5c(ccc6c7c8ccccc8ccc7c7ccccc7c65)c34)cc2c1
hc_c46h26_0pent_10379 c1ccc2c(c1)c1ccccc1c1c3cc4c(ccc5c4c4ccccc4c4c6ccccc6c6ccccc6c54)cc3ccc21
hc_c42h24_0pent_4693 c1ccc2cc3cc4c(ccc5ccc6cc7cc8ccc9ccc%10ccccc%10c9c8cc7cc6c54)cc3cc2c1
hc_c42h24_0pent_3692 c1ccc2cc3c(ccc4c5cc6c(cc5ccc34)c3c4ccccc4ccc3c3ccc4ccccc4c36)cc2c1
hc_c46h26_0pent_19371 c1ccc2c(c1)ccc1cc3cc4ccc5c6ccccc6c6c7ccc8ccccc8c7c7ccccc7c6c5c4cc3cc12
hc_c46h26_0pent_14612 c1ccc2cc3c(ccc4cc5ccc6c7cc8ccc9c(ccc%10c%11ccccc%11ccc%109)c8cc7ccc6c5cc43)cc2c1
hc_c46h26_0pent_5479 c1ccc2c(c1)ccc1cc3ccc4c5ccccc5c5c6ccc7c8ccccc8c8ccccc8c7c6ccc5c4c3cc12
hc_c46h26_0pent_4226 c1ccc2cc3c(cc2c1)c1ccc2ccccc2c1c1ccc2cc4ccc5c(ccc6c7ccccc7ccc65)c4cc2c31
hc_c42h24_0pent_1671 c1ccc2cc3c(ccc4ccc5c(ccc6ccc7c(ccc8c9ccccc9c9ccccc9c87)c65)c43)cc2c1
hc_c46h26_0pent_6542 c1ccc2cc3c(cc2c1)c1ccccc1c1cc2c4ccc5ccccc5c4c4ccc5ccc6ccccc6c5c4c2cc31
hc_c46h26_0pent_18642 c1ccc2c(c1)ccc1cc3cc4c(ccc5c6ccc7ccccc7c6c6cc7c(ccc8ccccc87)cc6c45)cc3cc12
hc_c46h26_0pent_12383 c1ccc2c(c1)ccc1c2ccc2c1ccc1c2ccc2c3cc4ccc5ccc6ccccc6c5c4cc3c3ccccc3c12
hc_c46h26_0pent_15770 c1ccc2c(c1)ccc1cc3c(cc12)c1c2ccccc2c2ccc4c5ccccc5ccc4c2c1c1ccc2ccccc2c31
hc_c46h26_0pent_1513 c1ccc2c(c1)ccc1c2ccc2c3ccc4ccc5ccccc5c4c3c3ccc4ccc5ccc6ccccc6c5c4c3c12
hc_c38h22_0pent_339 c1ccc2cc3c(ccc4ccc5cc6ccc7c(ccc8ccc9ccccc9c87)c6cc5c43)cc2c1
hc_c46h26_0pent_10173 c1ccc2c(c1)ccc1c2c2ccc3cc4c(ccc5ccc6ccc7ccccc7c6c54)cc3c2c2ccc3ccccc3c12
hc_c46h26_0pent_5425 c1ccc2cc3c(cc2c1)c1c2ccc4c5ccc6ccccc6c5ccc4c2ccc1c1ccc2ccc4ccccc4c2c13
hc_c46h26_0pent_13297 c1ccc2c(c1)ccc1cc3ccc4c(c3cc12)c1ccccc1c1c2ccccc2c2c3ccccc3c3ccccc3c2c41
hc_c46h26_0pent_19228 c1ccc2c(c1)ccc1cc3cc4c(ccc5ccc6c7ccc8c9ccccc9c9ccccc9c8c7ccc6c54)cc3cc12
hc_c42h24_0pent_2748 c1ccc2c(c1)ccc1cc3ccc4c5c(ccc6ccc7ccccc7c65)c5ccc6ccccc6c5c4c3cc12
hc_c46h26_0pent_21621 c1ccc2cc3c(cc2c1)c1ccccc1c1cc2cc4c(ccc5c4ccc4c6ccc7ccccc7c6ccc54)cc2cc13
hc_c46h26_0pent_11653 c1ccc2cc3c(ccc4c5ccc6cc7ccc8c(ccc9c%10ccccc%10ccc98)c7cc6c5c5ccccc5c34)cc2c1
hc_c46h26_0pent_22609 c1ccc2cc3c(cc2c1)c1ccccc1c1c2ccc4cc5cc6c(ccc7ccccc76)cc5cc4c2c2ccccc2c31
hc_c46h26_0pent_18156 c1ccc2cc3cc4c(ccc5ccc6c7ccc8ccccc8c7c7c8ccc9ccccc9c8ccc7c6c54)cc3cc2c1
hc_c42h24_0pent_3251 c1ccc2cc3c(ccc4c3ccc3c5ccc6cc7ccccc7cc6c5c5ccc6ccccc6c5c43)cc2c1
hc_c46h26_0pent_19586 c1ccc2cc3cc4c(ccc5ccc6c7cc8c9cc%10ccccc%10cc9c9ccccc9c8cc7ccc6c54)cc3cc2c1
