molecule_id,smiles,annulation,n_branches,longest_A,longest_L,longest_L_degeneracy,second_longest_L,ratio_L,n_LAL,n_rings,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,aEA_eV,aIP_eV
hc_c42h24_0pent_1588,c1ccc2c(c1)ccc1cc3c4ccc5ccccc5c4c4ccc5c6ccc7ccccc7c6ccc5c4c3cc12,aaaa(a)la,1,5,1,1,0,0.1428571428571428,0,10,-5.33,-1.927,3.403,0.083,-43888.084,-43881.752,-43889.033,-0.948,6.333
hc_c42h24_0pent_2364,c1ccc2cc3c(ccc4cc5ccc6c7ccccc7c7ccc8c9ccccc9ccc8c7c6c5cc43)cc2c1,lalaa()aa,1,4,1,2,0,0.2857142857142857,1,10,-5.347,-1.882,3.465,0.43,-43887.926,-43881.531,-43888.792,-0.866,6.395
hc_c34h20_0pent_216,c1ccc2cc3c(ccc4c5ccccc5c5ccc6c7ccccc7ccc6c5c34)cc2c1,aaa()al,1,4,1,1,0,0.2,0,8,-5.25,-1.953,3.297,0.089,-35537.424,-35531.036,-35538.265,-0.841,6.388
hc_c42h24_0pent_6346,c1ccc2cc3c(cc2c1)c1ccccc1c1cc2cc4cc5c6ccccc6c6ccccc6c5cc4cc2cc13,la()llla(),2,1,3,1,1,0.6666666666666666,0,10,-5.045,-2.376,2.67,0.032,-43888.296,-43882.221,-43889.668,-1.372,6.075
hc_c38h22_0pent_1385,c1ccc2c(c1)ccc1cc3ccc4cc5cc6c7ccccc7c7ccccc7c6cc5cc4c3cc12,a()llala,1,1,2,1,1,0.5,1,9,-5.283,-2.092,3.192,0.177,-39713.295,-39706.948,-39714.346,-1.051,6.347
hc_c42h24_0pent_259,c1ccc2c(c1)ccc1ccc3c4ccc5ccc6c7c8ccccc8ccc7c7ccccc7c6c5c4ccc3c12,aaaaaa()a,1,7,0,0,0,0.0,0,10,-5.462,-1.82,3.642,0.052,-43887.6,-43881.132,-43888.437,-0.837,6.468
hc_c42h24_0pent_5636,c1ccc2cc3cc4c(ccc5c4ccc4c6cc7c(ccc8c9ccccc9ccc78)cc6ccc45)cc3cc2c1,llaaalaa,0,3,2,1,1,0.375,0,10,-5.09,-2.277,2.813,0.184,-43888.345,-43882.195,-43889.597,-1.252,6.151
hc_c42h24_0pent_1479,c1ccc2cc3c(ccc4ccc5c6ccc7ccc8ccc9c%10ccccc%10ccc9c8c7c6ccc5c43)cc2c1,aaaaaaal,0,7,1,1,0,0.125,0,10,-5.309,-1.936,3.374,0.102,-43887.768,-43881.407,-43888.691,-0.923,6.361
hc_c42h24_0pent_1255,c1ccc2c(c1)c1ccccc1c1cc3c(cc21)c1ccccc1c1ccc2c4ccccc4c4ccccc4c2c13,a()aa()la(),3,3,1,1,0,0.2,0,10,-5.52,-1.766,3.754,0.26,-43888.121,-43881.569,-43888.912,-0.791,6.552
hc_c42h24_0pent_2894,c1ccc2c(c1)ccc1cc3c(ccc4ccc5c6ccc7cc8ccc9ccccc9c8cc7c6ccc5c43)cc12,alaaaala,0,4,1,2,0,0.25,0,10,-5.332,-1.977,3.355,0.174,-43888.408,-43882.087,-43889.422,-1.014,6.322
hc_c42h24_0pent_1263,c1ccc2c(c1)ccc1cc3c(cc12)c1ccccc1c1ccc2c4ccccc4c4ccc5ccccc5c4c2c13,aa()aa()la,2,4,1,1,0,0.1666666666666666,0,10,-5.446,-1.784,3.662,0.189,-43887.875,-43881.404,-43888.701,-0.825,6.471
hc_c42h24_0pent_3701,c1ccc2cc3c(cc2c1)c1ccccc1c1c2cc4c(cc2ccc31)c1ccccc1c1c2ccccc2ccc41,la()ala()a,2,2,1,2,0,0.3333333333333333,0,10,-5.257,-2.022,3.234,0.155,-43887.929,-43881.673,-43888.982,-1.054,6.256
hc_c38h22_0pent_641,c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccc4c5ccccc5c5ccccc5c4c2cc31,la()laa(),2,2,1,2,0,0.4,0,9,-5.449,-1.855,3.594,0.143,-39713.019,-39706.497,-39713.844,-0.825,6.522
hc_c42h24_0pent_5042,c1ccc2cc3cc4c(cc3cc2c1)c1cc2c(ccc3c5ccccc5ccc23)cc1c1c2ccccc2ccc41,lla(a)laa,1,2,2,1,1,0.4285714285714285,0,10,-5.158,-2.208,2.95,0.044,-43888.113,-43881.916,-43889.293,-1.179,6.197
hc_c42h24_0pent_3016,c1ccc2cc3c(ccc4c3ccc3c5cc6ccc7c8ccccc8c8ccccc8c7c6cc5ccc34)cc2c1,laaalaa(),1,3,1,2,0,0.2857142857142857,0,10,-5.317,-1.991,3.326,0.143,-43888.231,-43881.912,-43889.272,-1.041,6.319
hc_c42h24_0pent_487,c1ccc2c(c1)ccc1c2ccc2c1ccc1c3c4ccccc4ccc3c3c(ccc4ccc5ccccc5c43)c21,aaaa(a)aa,1,7,0,0,0,0.0,0,10,-5.437,-1.857,3.58,0.233,-43887.423,-43880.996,-43888.318,-0.895,6.426
hc_c42h24_0pent_5560,c1ccc2c(c1)ccc1ccc3cc4cc5c(ccc6c5ccc5ccc7ccc8ccccc8c7c56)cc4cc3c12,aallaaaa,0,4,2,1,0,0.25,0,10,-5.047,-2.244,2.803,0.184,-43887.678,-43881.59,-43888.922,-1.244,6.088
hc_c42h24_0pent_6234,c1ccc2c(c1)ccc1cc3cc4cc5c(cc4cc3cc12)c1ccccc1c1ccc2c3ccccc3ccc2c15,aaa()llla,1,3,3,1,0,0.4285714285714285,0,10,-4.942,-2.42,2.522,0.168,-43888.035,-43882.066,-43889.451,-1.416,5.969
